# Pg [torr], Vb [V], L [m], Miss% [%], Sput% [%], SputY [-]
9.999999999999999547e-07,1.500000000000000000e+03,2.399999999999999911e+00,3.609600000000000364e+00,6.083840000000000714e+01,6.311665892039041159e-01
9.999999999999999547e-07,1.500000000000000000e+03,4.799999999999999822e+00,7.135299999999999976e+00,5.843739999999999668e+01,6.292746328798779487e-01
9.999999999999999547e-07,1.500000000000000000e+03,9.599999999999999645e+00,1.375540000000000163e+01,5.388429999999999609e+01,6.247846241967612846e-01
9.999999999999999547e-07,1.500000000000000000e+03,1.919999999999999929e+01,2.567599999999999838e+01,4.589730000000000132e+01,6.175300037672891706e-01
9.999999999999999547e-07,1.800000000000000000e+03,1.499999999999999944e-01,2.212000000000000077e-01,7.809430000000000405e+01,7.826742754974002070e-01
9.999999999999999547e-07,1.800000000000000000e+03,2.999999999999999889e-01,4.453000000000000291e-01,7.782649999999999579e+01,7.817461154521082589e-01
9.999999999999999547e-07,1.800000000000000000e+03,5.999999999999999778e-01,9.052999999999999936e-01,7.749160000000000537e+01,7.819954043959969070e-01
9.999999999999999547e-07,1.800000000000000000e+03,1.199999999999999956e+00,1.794099999999999806e+00,7.671599999999999397e+01,7.811750617834569699e-01
9.999999999999999547e-07,1.800000000000000000e+03,2.399999999999999911e+00,3.507600000000000495e+00,7.521590000000000487e+01,7.795007689724786637e-01
9.999999999999999547e-07,1.800000000000000000e+03,4.799999999999999822e+00,6.942400000000000126e+00,7.230499999999999261e+01,7.769918845962070497e-01
9.999999999999999547e-07,1.800000000000000000e+03,9.599999999999999645e+00,1.338719999999999999e+01,6.692240000000001032e+01,7.726617774739992228e-01
9.999999999999999547e-07,1.800000000000000000e+03,1.919999999999999929e+01,2.497560000000000002e+01,5.727870000000000772e+01,7.634676185347700761e-01
9.999999999999999547e-07,2.100000000000000000e+03,1.499999999999999944e-01,2.174000000000000099e-01,9.330619999999998981e+01,9.350948963045661033e-01
9.999999999999999547e-07,2.100000000000000000e+03,2.999999999999999889e-01,4.348999999999999533e-01,9.312519999999999243e+01,9.353197053987792886e-01
9.999999999999999547e-07,2.100000000000000000e+03,5.999999999999999778e-01,8.760999999999999899e-01,9.267790000000000816e+01,9.349702745755564814e-01
9.999999999999999547e-07,2.100000000000000000e+03,1.199999999999999956e+00,1.729199999999999848e+00,9.179089999999999350e+01,9.340607789903002667e-01
9.999999999999999547e-07,2.100000000000000000e+03,2.399999999999999911e+00,3.431200000000000028e+00,9.004140000000001010e+01,9.324067400651141480e-01
9.999999999999999547e-07,2.100000000000000000e+03,4.799999999999999822e+00,6.799199999999999910e+00,8.663650000000001228e+01,9.295682011313207704e-01
9.999999999999999547e-07,2.100000000000000000e+03,9.599999999999999645e+00,1.304800000000000182e+01,8.036029999999999518e+01,9.241915079584138715e-01
